Date, Elevation (Ft.), Discharge (Ft.^3 per Sec)
2-Sep,9.31,"2,630"
3-Sep,8.85,"2,420"
4-Sep,6.41,"1,270"
5-Sep,4.36,401
6-Sep,3.97,275
7-Sep,3.05,
8-Sep,2.71,
9-Sep,2.73,
10-Sep,4.76,
11-Sep,5.06,730
12-Sep,4.67,522
13-Sep,5.46,781
14-Sep,4.47,412
15-Sep,4.46,407
16-Sep,3.35,
17-Sep,2.43,
18-Sep,2,
19-Sep,1.75,
20-Sep,1.72,
21-Sep,1.87,
22-Sep,2.38,
23-Sep,2.31,
24-Sep,2.38,
25-Sep,2.48,
26-Sep,2.16,
27-Sep,2.08,
28-Sep,1.89,
29-Sep,1.57,
30-Sep,1.51,
1-Oct,1.64,
2-Oct,1.68,
3-Oct,1.85,
4-Oct,2.06,
5-Oct,2.14,
6-Oct,2.48,
7-Oct,1.95,
8-Oct,1.54,
9-Oct,1.64,
10-Oct,1.77,
11-Oct,2.49,
12-Oct,2.2,
13-Oct,2.1,
14-Oct,2.2,
15-Oct,2.7,
16-Oct,2.25,
17-Oct,2.16,
18-Oct,2.35,
19-Oct,2.33,
20-Oct,2.33,
21-Oct,1.69,
22-Oct,2.01,
23-Oct,2.1,
24-Oct,1.89,
25-Oct,1.98,
26-Oct,1.98,
27-Oct,2.04,
28-Oct,2.29,
29-Oct,2.61,
30-Oct,2.25,
31-Oct,2.17,
1-Nov,2.53,
2-Nov,2.69,
3-Nov,2.5,
4-Nov,2.13,
5-Nov,2.03,
6-Nov,2.29,
7-Nov,6.31,788
8-Nov,4.2,364
9-Nov,4.37,429
10-Nov,6,"1,080"
11-Nov,3.64,503
12-Nov,2.19,
13-Nov,2.07,
14-Nov,1.89,
15-Nov,1.78,
16-Nov,1.83,
17-Nov,2.12,
18-Nov,2.22,
19-Nov,1.74,
20-Nov,1.88,
21-Nov,1.92,
22-Nov,2.09,
23-Nov,3.14,
24-Nov,3.09,
25-Nov,3.09,
26-Nov,2.21,
27-Nov,2.07,
28-Nov,2.59,
29-Nov,1.77,
30-Nov,1.46,
1-Dec,1.61,
2-Dec,2.17,
3-Dec,4.65,
4-Dec,4.86,611
5-Dec,5.94,
6-Dec,6.15,"1,240"
7-Dec,6.7,"1,490"
8-Dec,5.93,"1,140"
9-Dec,7,"1,620"
10-Dec,6.85,"1,530"
11-Dec,6.51,"1,320"
12-Dec,5.59,985
13-Dec,4.08,
14-Dec,1.92,
15-Dec,1.6,
16-Dec,2.02,
17-Dec,2.24,
18-Dec,1.35,
19-Dec,1.09,
20-Dec,1.41,
21-Dec,1.54,
22-Dec,1.41,
23-Dec,1.71,
24-Dec,1.68,
25-Dec,1.94,
26-Dec,1.69,
27-Dec,1.58,
28-Dec,1.86,
29-Dec,1.86,
30-Dec,1.45,
31-Dec,2.74,
