Date,Elevation (Ft.),Discharge (Ft.^3 per Sec)
8-Sep,41.52,53
9-Sep,41.49,51
10-Sep,41.49,55
11-Sep,41.56,107
12-Sep,41.58,81
13-Sep,41.59,68
14-Sep,41.59,55
15-Sep,41.56,51
16-Sep,41.54,48
17-Sep,41.51,47
18-Sep,42.34,789
19-Sep,50,"11,500"
20-Sep,52.48,"9,280"
21-Sep,46.65,"2,750"
22-Sep,44,938
23-Sep,43.08,538
24-Sep,42.21,361
25-Sep,41.84,267
26-Sep,41.65,226
27-Sep,41.68,188
28-Sep,41.81,179
29-Sep,41.75,153
30-Sep,,131
1-Oct,,123
2-Oct,,112
3-Oct,,110
4-Oct,,144
5-Oct,,118
6-Oct,,106
7-Oct,,97
8-Oct,,93
9-Oct,,89
10-Oct,,90
11-Oct,,112
12-Oct,,226
13-Oct,,120
14-Oct,,115
15-Oct,,198
16-Oct,,202
17-Oct,,150
18-Oct,,118
19-Oct,,106
20-Oct,,95
21-Oct,,552
22-Oct,,294
23-Oct,,144
24-Oct,,112
25-Oct,,478
26-Oct,,247
27-Oct,,137
28-Oct,,107
29-Oct,,619
30-Oct,,"1,590"
31-Oct,,792
1-Nov,,493
2-Nov,,313
3-Nov,,249
4-Nov,,190
5-Nov,,173
6-Nov,,159
7-Nov,,188
8-Nov,,343
9-Nov,,204
10-Nov,,162
11-Nov,,133
12-Nov,,112
13-Nov,,110
14-Nov,,112
15-Nov,,122
16-Nov,,108
17-Nov,,99
18-Nov,,96
19-Nov,,94
20-Nov,,85
21-Nov,,84
22-Nov,,91
23-Nov,,94
24-Nov,,89
25-Nov,,84
26-Nov,,83
27-Nov,,88
28-Nov,,79
29-Nov,,72
30-Nov,,79
1-Dec,,80
2-Dec,,81
3-Dec,,79
4-Dec,,79
5-Dec,,81
6-Dec,,81
7-Dec,,78
8-Dec,,80
9-Dec,,79
10-Dec,,86
11-Dec,,131
12-Dec,,102
13-Dec,,89
14-Dec,,83
15-Dec,,82
16-Dec,,94
17-Dec,,105
18-Dec,,86
19-Dec,,78
20-Dec,,73
21-Dec,,72
22-Dec,,73
23-Dec,,75
24-Dec,,73
25-Dec,,72
26-Dec,,70
27-Dec,,70
28-Dec,,68
29-Dec,,208
30-Dec,,306
31-Dec,,144
