Date,Elevation (Ft.),Discharge (Ft.^3 per Sec)
3-Sep,42.68,228
4-Sep,42.71,190
5-Sep,42.91,198
6-Sep,42.89,165
7-Sep,42.83,139
8-Sep,42.8,118
9-Sep,42.83,105
10-Sep,42.9,243
11-Sep,42.89,532
12-Sep,42.87,294
13-Sep,42.84,189
14-Sep,42.91,121
15-Sep,42.86,85
16-Sep,42.78,74
17-Sep,42.73,70
18-Sep,42.68,65
19-Sep,42.66,62
20-Sep,42.64,60
21-Sep,42.62,79
22-Sep,42.59,63
23-Sep,42.58,57
24-Sep,42.59,61
25-Sep,42.62,97
26-Sep,42.75,211
27-Sep,42.81,210
28-Sep,42.74,127
29-Sep,42.68,97
30-Sep,42.62,82
1-Oct,42.59,70
2-Oct,42.57,62
3-Oct,42.55,57
4-Oct,42.53,53
5-Oct,42.53,50
6-Oct,42.53,49
7-Oct,42.49,49
8-Oct,42.42,48
9-Oct,42.38,48
10-Oct,42.36,46
11-Oct,42.36,45
12-Oct,42.37,46
13-Oct,42.37,44
14-Oct,42.36,45
15-Oct,42.36,48
16-Oct,42.36,44
17-Oct,42.35,42
18-Oct,42.33,40
19-Oct,42.33,40
20-Oct,42.34,50
21-Oct,42.3,45
22-Oct,42.29,41
23-Oct,42.27,39
24-Oct,42.26,38
25-Oct,42.25,39
26-Oct,42.24,39
27-Oct,42.21,38
28-Oct,42.2,37
29-Oct,42.19,35
30-Oct,42.18,35
31-Oct,42.17,35
1-Nov,42.17,36
2-Nov,42.19,79
3-Nov,42.22,76
4-Nov,42.23,53
5-Nov,42.21,45
6-Nov,42.21,41
7-Nov,42.81,382
8-Nov,42.95,269
9-Nov,42.84,211
10-Nov,42.74,141
11-Nov,42.68,158
12-Nov,42.64,119
13-Nov,42.62,84
14-Nov,42.58,71
15-Nov,42.54,66
16-Nov,42.54,60
17-Nov,42.53,59
18-Nov,42.49,56
19-Nov,42.38,46
20-Nov,42.37,44
21-Nov,42.37,51
22-Nov,42.37,59
23-Nov,42.41,85
24-Nov,42.54,147
25-Nov,42.55,82
26-Nov,42.54,74
27-Nov,42.55,82
28-Nov,42.54,76
29-Nov,42.55,69
30-Nov,42.48,75
1-Dec,42.47,67
2-Dec,42.45,62
3-Dec,42.89,831
4-Dec,44.66,"2,380"
5-Dec,45.89,"3,230"
6-Dec,46.52,"5,200"
7-Dec,46.18,"4,610"
8-Dec,45.21,"3,390"
9-Dec,44.08,"2,070"
10-Dec,43.35,"1,390"
11-Dec,43.11,"1,300"
12-Dec,42.99,"1,190"
13-Dec,42.91,"1,130"
14-Dec,42.92,840
15-Dec,42.83,568
16-Dec,42.81,528
17-Dec,42.78,465
18-Dec,42.53,413
19-Dec,42.47,275
20-Dec,42.48,93
21-Dec,42.48,75
22-Dec,42.51,71
23-Dec,42.54,70
24-Dec,42.54,78
25-Dec,42.56,83
26-Dec,42.57,76
27-Dec,42.58,69
28-Dec,42.58,67
29-Dec,42.51,62
30-Dec,42.48,53
31-Dec,42.52,60
