Date,Elevation (Ft.),Discharge (Ft.^3 per Sec)
1-Jan,42.55,71
2-Jan,43.68,720
3-Jan,44.26,798
4-Jan,43.44,537
5-Jan,43.31,580
6-Jan,43.04,431
7-Jan,42.77,231
8-Jan,42.75,144
9-Jan,42.72,114
10-Jan,42.61,98
11-Jan,42.23,89
12-Jan,42.1,86
13-Jan,42.14,84
14-Jan,42.2,82
15-Jan,42.25,85
16-Jan,42.44,135
17-Jan,43.01,976
18-Jan,46.84,"4,750"
19-Jan,47.87,"5,910"
20-Jan,47.41,"6,410"
21-Jan,48.75,"7,540"
22-Jan,47.12,"5,560"
23-Jan,45.41,"3,550"
24-Jan,44.48,"2,210"
25-Jan,43.59,"1,510"
26-Jan,43.14,"1,130"
27-Jan,42.9,722
28-Jan,42.83,634
29-Jan,42.81,590
30-Jan,42.79,541
31-Jan,42.66,279
1-Feb,42.54,190
2-Feb,42.43,166
3-Feb,42.31,151
4-Feb,42.34,139
5-Feb,42.37,137
6-Feb,42.26,135
7-Feb,41.99,129
8-Feb,41.87,125
9-Feb,41.8,117
10-Feb,41.77,115
11-Feb,41.78,110
12-Feb,41.85,110
13-Feb,41.91,103
14-Feb,42.33,374
15-Feb,42.9,605
16-Feb,42.8,327
17-Feb,42.88,267
18-Feb,42.88,258
19-Feb,42.84,209
20-Feb,43.74,"1,250"
21-Feb,45.43,"3,850"
22-Feb,45.19,"4,520"
23-Feb,46.63,"7,200"
24-Feb,45.89,"4,660"
25-Feb,44.19,"2,750"
26-Feb,43.49,"1,890"
27-Feb,43.09,"1,450"
28-Feb,42.95,"1,260"
29-Feb,,
1-Mar,42.78,803
2-Mar,42.7,689
3-Mar,42.69,367
4-Mar,42.68,249
5-Mar,42.74,231
6-Mar,42.98,280
7-Mar,42.77,305
8-Mar,42.68,318
9-Mar,42.75,240
10-Mar,42.76,215
11-Mar,42.82,207
12-Mar,43.02,246
13-Mar,42.88,245
14-Mar,42.8,221
15-Mar,42.76,183
16-Mar,42.73,163
17-Mar,42.7,150
18-Mar,42.69,144
19-Mar,42.67,144
20-Mar,42.5,133
21-Mar,41.91,134
22-Mar,41.87,120
23-Mar,41.91,111
24-Mar,41.95,103
25-Mar,42.24,252
26-Mar,42.32,240
27-Mar,42.38,170
28-Mar,42.45,159
29-Mar,43.56,263
30-Mar,43.53,232
31-Mar,42.73,151
1-Apr,42.74,123
2-Apr,42.76,149
3-Apr,42.87,"1,210"
4-Apr,43.15,"1,640"
5-Apr,43.19,"1,560"
6-Apr,43.31,"1,600"
7-Apr,43.1,"1,020"
8-Apr,42.89,404
9-Apr,42.79,223
10-Apr,42.74,172
11-Apr,42.97,436
12-Apr,43.66,"1,210"
13-Apr,43.13,"1,100"
14-Apr,42.98,986
15-Apr,42.91,778
16-Apr,42.9,698
17-Apr,42.85,354
18-Apr,42.91,274
19-Apr,42.84,243
20-Apr,42.82,214
21-Apr,42.77,161
22-Apr,42.68,132
23-Apr,42.47,113
24-Apr,42.47,110
25-Apr,42.47,91
26-Apr,42.45,89
27-Apr,42.43,82
28-Apr,42.44,76
29-Apr,42.45,71
30-Apr,42.37,74
1-May,42.36,69
2-May,42.38,65
3-May,42.35,68
4-May,42.25,68
5-May,42.2,70
6-May,42.21,66
7-May,42.21,59
8-May,42.21,56
9-May,42.21,56
10-May,42.2,56
11-May,42.2,58
12-May,42.19,57
13-May,42.2,55
14-May,42.21,56
15-May,42.2,55
16-May,42.2,52
17-May,42.18,51
18-May,42.18,51
19-May,42.16,50
20-May,42.14,57
21-May,42.14,130
22-May,42.36,190
23-May,42.73,508
24-May,42.79,"1,200"
25-May,43.01,"1,460"
26-May,42.95,524
27-May,42.83,215
28-May,42.77,142
29-May,43.14,611
30-May,42.87,277
31-May,42.77,157
1-Jun,42.84,344
2-Jun,42.96,401
3-Jun,42.81,434
4-Jun,43.1,981
5-Jun,43.45,"1,490"
6-Jun,42.61,"1,630"
7-Jun,42.27,"1,480"
8-Jun,42.11,"1,420"
9-Jun,42.31,"1,330"
10-Jun,42.49,"1,150"
11-Jun,42.63,"1,060"
12-Jun,42.79,850
13-Jun,42.84,543
14-Jun,42.79,242
15-Jun,42.74,128
16-Jun,42.69,97
17-Jun,42.65,82
18-Jun,42.62,72
19-Jun,42.59,67
20-Jun,42.53,62
21-Jun,42.35,59
22-Jun,42.04,79
23-Jun,42.05,72
24-Jun,42.36,168
25-Jun,42.9,313
26-Jun,42.74,120
27-Jun,42.63,95
28-Jun,42.54,83
29-Jun,42.43,73
30-Jun,42.44,85
1-Jul,42.44,73
2-Jul,42.44,60
3-Jul,42.42,55
4-Jul,42.4,51
5-Jul,42.38,48
6-Jul,42.37,61
7-Jul,42.34,54
8-Jul,42.33,65
9-Jul,42.44,47
