Date,Elevations (Ft.),Discharge (Ft.^3 per Sec)
1-Jan,6.54,"1,880"
2-Jan,7.14,
3-Jan,7.27,
4-Jan,8.24,"2,560"
5-Jan,9.05,"2,900"
6-Jan,8.03,"2,470"
7-Jan,6.89,"2,010"
8-Jan,6.65,"1,920"
9-Jan,6.53,"1,870"
10-Jan,5.67,
11-Jan,3.09,
12-Jan,3.61,
13-Jan,3.04,
14-Jan,3.37,
15-Jan,2.97,
16-Jan,2.2,
17-Jan,1.97,
18-Jan,1.74,
19-Jan,3.67,
20-Jan,2.68,
21-Jan,2.94,
22-Jan,2.69,
23-Jan,4.9,
24-Jan,4.96,
25-Jan,5.69,
26-Jan,4.43,
27-Jan,3.38,
28-Jan,2.71,
29-Jan,2.37,
30-Jan,2.2,
31-Jan,2.46,
1-Feb,2.65,
2-Feb,2.28,
3-Feb,2.53,
4-Feb,2.37,
5-Feb,2.08,
6-Feb,1.95,
7-Feb,1.76,
8-Feb,1.14,
9-Feb,1.51,
10-Feb,1.96,
11-Feb,1.86,
12-Feb,1.83,
13-Feb,1.47,
14-Feb,1.87,
15-Feb,1.52,
16-Feb,1.4,
17-Feb,1.5,
18-Feb,1.35,
19-Feb,2.54,
20-Feb,1.64,
21-Feb,2.01,
22-Feb,2.21,
23-Feb,2.11,
24-Feb,1.32,
25-Feb,2,
26-Feb,3.49,
27-Feb,5.41,
28-Feb,4.61,
29-Feb,,
1-Mar,4.06,
2-Mar,3.05,
3-Mar,2.33,
4-Mar,1.86,
5-Mar,0.79,
6-Mar,1.16,
7-Mar,1.96,
8-Mar,1.95,
9-Mar,2.13,
10-Mar,1.71,
11-Mar,1.57,
12-Mar,1.75,
13-Mar,2.72,
14-Mar,2.08,
15-Mar,1.48,
16-Mar,1.57,
17-Mar,1.74,
18-Mar,1.78,
19-Mar,2.19,
20-Mar,1.75,
21-Mar,1.31,
22-Mar,1.14,
23-Mar,1.5,
24-Mar,1.42,
25-Mar,1.43,
26-Mar,1.31,
27-Mar,1.62,
28-Mar,1.83,
29-Mar,1.87,
30-Mar,1.6,
31-Mar,0.92,
1-Apr,1.53,
2-Apr,1.54,
3-Apr,1.93,
4-Apr,2.59,
5-Apr,2.27,
6-Apr,2.23,
7-Apr,3.49,
8-Apr,3.87,
9-Apr,3.7,
10-Apr,2.63,
11-Apr,2.61,
12-Apr,2.18,
13-Apr,2.65,
14-Apr,1.31,
15-Apr,1.49,
16-Apr,2.09,
17-Apr,2.11,
18-Apr,6.31,
19-Apr,4.25,
20-Apr,5.72,
21-Apr,4.09,
22-Apr,2.4,
23-Apr,2.05,
24-Apr,2.03,
25-Apr,1.64,
26-Apr,1.25,
27-Apr,1.5,
28-Apr,1.76,
29-Apr,2.23,
30-Apr,2.59,
1-May,2.61,
2-May,2.44,
3-May,2.38,
4-May,4.27,
5-May,4.33,
6-May,3.85,
7-May,4.49,
8-May,6.46,
9-May,6.61,
10-May,16.16,"6,440"
11-May,6.15,
12-May,7.01,"2,020"
13-May,8.39,"2,610"
14-May,8.76,"2,760"
15-May,8.56,"2,660"
16-May,7.99,"2,420"
17-May,6.83,"1,840"
18-May,6.03,
19-May,3.27,
20-May,2.82,
21-May,3.35,
22-May,2.93,
23-May,2.92,
24-May,2.48,
25-May,2.29,
26-May,2.11,
27-May,2.21,
28-May,2.62,
29-May,2.74,
30-May,2.23,
31-May,2.95,
1-Jun,1.99,
2-Jun,1.87,
3-Jun,1.78,
4-Jun,1.96,
5-Jun,7.33,
6-Jun,3.31,
7-Jun,4.4,
8-Jun,3.27,
9-Jun,2.21,
10-Jun,1.67,
11-Jun,1.77,
12-Jun,1.9,
13-Jun,1.54,
14-Jun,1.8,
15-Jun,2.08,
16-Jun,2.57,
17-Jun,5.27,
18-Jun,5.43,
19-Jun,4.84,
20-Jun,3.02,
21-Jun,2.36,
22-Jun,2.22,
23-Jun,2.27,
24-Jun,6.41,
25-Jun,3.71,
26-Jun,3.17,
27-Jun,5.25,
28-Jun,4.9,
29-Jun,3.72,
30-Jun,2.61,
1-Jul,2.38,
2-Jul,2.21,
3-Jul,2.1,
4-Jul,2.88,
5-Jul,1.98,
6-Jul,1.67,
7-Jul,1.59,
8-Jul,1.47,
9-Jul,1.48,
10-Jul,1.24,
11-Jul,1.23,
12-Jul,1.5,
13-Jul,1.04,
14-Jul,1.53,
15-Jul,1.91,
16-Jul,1.82,
17-Jul,1.96,
18-Jul,1.98,
19-Jul,1.88,
20-Jul,1.76,
21-Jul,1.81,
22-Jul,1.74,
23-Jul,1.32,
24-Jul,1.64,
25-Jul,1.89,
26-Jul,1.9,
27-Jul,1.82,
28-Jul,1.7,
29-Jul,2.17,
30-Jul,2.51,
31-Jul,3.06,
1-Aug,1.92,
2-Aug,1.81,
3-Aug,1.7,
4-Aug,1.66,
5-Aug,1.64,
6-Aug,1.6,
7-Aug,1.5,
8-Aug,1.6,
9-Aug,1.47,
10-Aug,1.4,
11-Aug,1.36,
12-Aug,1.22,
13-Aug,1.22,
14-Aug,1.55,
15-Aug,2.26,
16-Aug,3.82,
17-Aug,2.2,
18-Aug,1.8,
19-Aug,1.74,
20-Aug,1.99,
21-Aug,2.04,
22-Aug,1.89,
23-Aug,1.82,
24-Aug,1.89,
25-Aug,3.19,
26-Aug,2.69,
27-Aug,2.61,
28-Aug,3.47,
29-Aug,2.98,
30-Aug,2.07,
31-Aug,1.88,
1-Sep,1.82,
2-Sep,2.01,
3-Sep,2.26,
4-Sep,2.21,
5-Sep,1.61,
6-Sep,1.19,
7-Sep,1.22,
8-Sep,1.36,
9-Sep,1.55,
10-Sep,2.02,
11-Sep,2.29,
12-Sep,3.03,
13-Sep,3.15,
14-Sep,2.79,
15-Sep,2.8,
16-Sep,3.16,
17-Sep,4.29,
18-Sep,9.41,
19-Sep,17.93,
20-Sep,13.08,
21-Sep,6.03,
22-Sep,8.26,"2,270"
23-Sep,8.69,"2,600"
24-Sep,7.82,"2,270"
25-Sep,6.9,"1,870"
26-Sep,6.43,"1,720"
27-Sep,6.16,
28-Sep,3.66,
29-Sep,3.09,
30-Sep,2.86,
1-Oct,2.84,
2-Oct,2.43,
3-Oct,2.4,
4-Oct,2.41,
5-Oct,2.16,
6-Oct,2.33,
7-Oct,2.2,
8-Oct,2.29,
9-Oct,2.46,
10-Oct,2.56,
11-Oct,2.71,
12-Oct,1.96,
13-Oct,2.24,
14-Oct,2.63,
15-Oct,2.53,
16-Oct,3.77,
17-Oct,,
18-Oct,,
19-Oct,,
20-Oct,,
21-Oct,,
22-Oct,,
23-Oct,,
24-Oct,,
25-Oct,,
26-Oct,,
27-Oct,,
28-Oct,,
29-Oct,,
30-Oct,,
31-Oct,,
1-Nov,,
2-Nov,,
3-Nov,,
4-Nov,,
5-Nov,,
6-Nov,,
7-Nov,,
8-Nov,,
9-Nov,,
10-Nov,,
11-Nov,,
12-Nov,,
13-Nov,,
14-Nov,,
15-Nov,,
16-Nov,,
17-Nov,,
18-Nov,,
19-Nov,,
20-Nov,,
21-Nov,,
22-Nov,,
23-Nov,,
24-Nov,,
25-Nov,,
26-Nov,,
27-Nov,,
28-Nov,,
29-Nov,,
30-Nov,,
1-Dec,,
2-Dec,,
3-Dec,,
4-Dec,,
5-Dec,,
6-Dec,,
7-Dec,,
8-Dec,,
9-Dec,,
10-Dec,,
11-Dec,,
12-Dec,,
13-Dec,,
14-Dec,,
15-Dec,,
16-Dec,,
17-Dec,,
18-Dec,,
19-Dec,,
20-Dec,,
21-Dec,,
22-Dec,,
23-Dec,,
24-Dec,,
25-Dec,,
26-Dec,,
27-Dec,,
28-Dec,,
29-Dec,,
30-Dec,,
31-Dec,,
